chain, dex, timestamp, pair, token0, token1
56, 0xca143ce32fe78f1f7019d7d551a6402fc5350c73, 20424003, 0x3DE032D5D11c94d2d79dBa0c34D7851FFAA05DD8, 0x55d398326f99059fF775485246999027B3197955, 0xa4F186b0C4481b7eb1B83BE6106CF154F66D67ae
56, 0xca143ce32fe78f1f7019d7d551a6402fc5350c73, 20424106, 0xAD19d44eF405eB6d60c38645c44eA36fA56Aeb2A, 0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c, 0xe6249a1cd57CEe51026a1d2297FBC2Bdea5E8B8e
56, 0xca143ce32fe78f1f7019d7d551a6402fc5350c73, 20424173, 0x55d398326f99059fF775485246999027B3197955, 0xb9B916efDe589C8ceD21652360eDF1146a97219b, 0x5226bC0Adb7E2fb39964d6e42eCfF3ae5aa42A5E
56, 0xca143ce32fe78f1f7019d7d551a6402fc5350c73, 20424183, 0x55d398326f99059fF775485246999027B3197955, 0x8f3B98adBC827D941B66972e2b0698219a39Fef2, 0xb05BCc6776effA4f22B2e11B783173648CE87F45
56, 0xca143ce32fe78f1f7019d7d551a6402fc5350c73, 20424189, 0x55d398326f99059fF775485246999027B3197955, 0xD6879eEe4D51A2c28f1280f52997A58C96267E17, 0x828c50ca227389694A9Ec4181ad1C22fF0632821
56, 0xca143ce32fe78f1f7019d7d551a6402fc5350c73, 20424205, 0x985Cad671941d9FbACb4A71A2ec305Ea9966B55A, 0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c, 0x87e543b804507D4D41Da9CD4e006DA2F8B953F82
56, 0xca143ce32fe78f1f7019d7d551a6402fc5350c73, 20424227, 0x523c6baE820DF733B5c0b53BAd77d42d7852c5Bb, 0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c, 0x0bd0fCf648033757bE7790647525a4ccf47a63B3
56, 0xca143ce32fe78f1f7019d7d551a6402fc5350c73, 20424282, 0x63e0ad0b2485Cd00011DD5FBB6C2553CA89A3986, 0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c, 0xE9DE78dCE24D8eaf7EC3971feC9C9E7aF2AA73Df
56, 0xca143ce32fe78f1f7019d7d551a6402fc5350c73, 20424389, 0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c, 0xcf6c43196029D593242d937762c4fb56b1aE0Ade, 0xDd508947F42812a7552ca4dbC42E12d372F5068c
56, 0xca143ce32fe78f1f7019d7d551a6402fc5350c73, 20424406, 0x3DE032D5D11c94d2d79dBa0c34D7851FFAA05DD8, 0xa4F186b0C4481b7eb1B83BE6106CF154F66D67ae, 0x995c10f1D5D3F3D28c4b258c275EE72bd64fBBD5
56, 0xca143ce32fe78f1f7019d7d551a6402fc5350c73, 20424412, 0x8529A7F493d773fe5Baf844117A57553c254D615, 0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c, 0x16E770f73DdcBd3aa78ba01Cf25eA9387DDBE50C
